StateID,Time(s),Position1(m),Position2(m),Position3(m),Position4(m),Position5(m),Position6(m),Position7(m),Position8(m),Position9(m),Position10(m),Position11(m),Position12(m),Position13(m),Position14(m),Position15(m),Position16(m),Position17(m),Position18(m),Position19(m),Position20(m),Position21(m),Position22(m),Position23(m),Position24(m),Position25(m),Position26(m),Position27(m),Position28(m),Position29(m),Position30(m),Position31(m),Position32(m),Position33(m),Position34(m),Position35(m),Position36(m),Position37(m),Position38(m),Position39(m),Position40(m),Position41(m),Position42(m),Position43(m),Position44(m),Position45(m),Position46(m),Position47(m),Position48(m),Position49(m),Position50(m),Position51(m),Position52(m),Position53(m),Position54(m),Position55(m),Position56(m),Position57(m),Position58(m),Position59(m),Position60(m),Position61(m),Position62(m),Position63(m),Position64(m),Position65(m),Position66(m),Position67(m),Position68(m),Position69(m),Position70(m),Position71(m),Position72(m),Position73(m),Position74(m),Position75(m),Position76(m),Position77(m),Position78(m),Position79(m),Position80(m),Position81(m),Position82(m),Position83(m),Position84(m),Position85(m),Position86(m),Position87(m),Position88(m),Position89(m),Position90(m),Position91(m),Position92(m),Position93(m),Position94(m),Position95(m),Position96(m),Position97(m),Position98(m),Position99(m),Position100(m)
1,1.2,0.00,-0.67,-1.33,-2.00,-2.67,-3.33,-4.00,-4.67,-5.33,-6.00,-6.67,-7.33,-8.00,-8.67,-9.33,-10.00,-10.67,-11.33,-12.00,-12.67,-13.33,-14.00,-14.67,-15.33,-16.00,-16.67,-17.33,-18.00,-18.67,-19.33,-20.00,-20.67,-21.33,-22.00,-22.67,-23.33,-24.00,-24.67,-25.33,-26.00,-26.67,-27.33,-28.00,-28.67,-29.33,-30.00,-30.67,-31.33,-32.00,-32.67,-33.33,-34.00,-34.67,-35.33,-36.00,-36.67,-37.33,-38.00,-38.67,-39.33,-40.00,-40.67,-41.33,-42.00,-42.67,-43.33,-44.00,-44.67,-45.33,-46.00,-46.67,-47.33,-48.00,-48.67,-49.33,-50.00,-50.67,-51.33,-52.00,-52.67,-53.33,-54.00,-54.67,-55.33,-56.00,-56.67,-57.33,-58.00,-58.67,-59.33,-60.00,-60.67,-61.33,-62.00,-62.67,-63.33,-64.00,-64.67,-65.33,-66.00
2,2.4,1.35,-0.67,-1.33,-2.00,-2.67,-3.33,-4.00,-4.67,-5.33,-6.00,-6.67,-7.33,-8.00,-8.67,-9.33,-10.00,-10.67,-11.33,-12.00,-12.67,-13.33,-14.00,-14.67,-15.33,-16.00,-16.67,-17.33,-18.00,-18.67,-19.33,-20.00,-20.67,-21.33,-22.00,-22.67,-23.33,-24.00,-24.67,-25.33,-26.00,-26.67,-27.33,-28.00,-28.67,-29.33,-30.00,-30.67,-31.33,-32.00,-32.67,-33.33,-34.00,-34.67,-35.33,-36.00,-36.67,-37.33,-38.00,-38.67,-39.33,-40.00,-40.67,-41.33,-42.00,-42.67,-43.33,-44.00,-44.67,-45.33,-46.00,-46.67,-47.33,-48.00,-48.67,-49.33,-50.00,-50.67,-51.33,-52.00,-52.67,-53.33,-54.00,-54.67,-55.33,-56.00,-56.67,-57.33,-58.00,-58.67,-59.33,-60.00,-60.67,-61.33,-62.00,-62.67,-63.33,-64.00,-64.67,-65.33,-66.00
3,3.6,4.00,-0.67,-1.33,-2.00,-2.67,-3.33,-4.00,-4.67,-5.33,-6.00,-6.67,-7.33,-8.00,-8.67,-9.33,-10.00,-10.67,-11.33,-12.00,-12.67,-13.33,-14.00,-14.67,-15.33,-16.00,-16.67,-17.33,-18.00,-18.67,-19.33,-20.00,-20.67,-21.33,-22.00,-22.67,-23.33,-24.00,-24.67,-25.33,-26.00,-26.67,-27.33,-28.00,-28.67,-29.33,-30.00,-30.67,-31.33,-32.00,-32.67,-33.33,-34.00,-34.67,-35.33,-36.00,-36.67,-37.33,-38.00,-38.67,-39.33,-40.00,-40.67,-41.33,-42.00,-42.67,-43.33,-44.00,-44.67,-45.33,-46.00,-46.67,-47.33,-48.00,-48.67,-49.33,-50.00,-50.67,-51.33,-52.00,-52.67,-53.33,-54.00,-54.67,-55.33,-56.00,-56.67,-57.33,-58.00,-58.67,-59.33,-60.00,-60.67,-61.33,-62.00,-62.67,-63.33,-64.00,-64.67,-65.33,-66.00
4,4.8,7.89,0.68,-1.33,-2.00,-2.67,-3.33,-4.00,-4.67,-5.33,-6.00,-6.67,-7.33,-8.00,-8.67,-9.33,-10.00,-10.67,-11.33,-12.00,-12.67,-13.33,-14.00,-14.67,-15.33,-16.00,-16.67,-17.33,-18.00,-18.67,-19.33,-20.00,-20.67,-21.33,-22.00,-22.67,-23.33,-24.00,-24.67,-25.33,-26.00,-26.67,-27.33,-28.00,-28.67,-29.33,-30.00,-30.67,-31.33,-32.00,-32.67,-33.33,-34.00,-34.67,-35.33,-36.00,-36.67,-37.33,-38.00,-38.67,-39.33,-40.00,-40.67,-41.33,-42.00,-42.67,-43.33,-44.00,-44.67,-45.33,-46.00,-46.67,-47.33,-48.00,-48.67,-49.33,-50.00,-50.67,-51.33,-52.00,-52.67,-53.33,-54.00,-54.67,-55.33,-56.00,-56.67,-57.33,-58.00,-58.67,-59.33,-60.00,-60.67,-61.33,-62.00,-62.67,-63.33,-64.00,-64.67,-65.33,-66.00
5,6.0,12.97,3.33,-1.33,-2.00,-2.67,-3.33,-4.00,-4.67,-5.33,-6.00,-6.67,-7.33,-8.00,-8.67,-9.33,-10.00,-10.67,-11.33,-12.00,-12.67,-13.33,-14.00,-14.67,-15.33,-16.00,-16.67,-17.33,-18.00,-18.67,-19.33,-20.00,-20.67,-21.33,-22.00,-22.67,-23.33,-24.00,-24.67,-25.33,-26.00,-26.67,-27.33,-28.00,-28.67,-29.33,-30.00,-30.67,-31.33,-32.00,-32.67,-33.33,-34.00,-34.67,-35.33,-36.00,-36.67,-37.33,-38.00,-38.67,-39.33,-40.00,-40.67,-41.33,-42.00,-42.67,-43.33,-44.00,-44.67,-45.33,-46.00,-46.67,-47.33,-48.00,-48.67,-49.33,-50.00,-50.67,-51.33,-52.00,-52.67,-53.33,-54.00,-54.67,-55.33,-56.00,-56.67,-57.33,-58.00,-58.67,-59.33,-60.00,-60.67,-61.33,-62.00,-62.67,-63.33,-64.00,-64.67,-65.33,-66.00
6,7.2,19.20,7.22,0.02,-2.00,-2.67,-3.33,-4.00,-4.67,-5.33,-6.00,-6.67,-7.33,-8.00,-8.67,-9.33,-10.00,-10.67,-11.33,-12.00,-12.67,-13.33,-14.00,-14.67,-15.33,-16.00,-16.67,-17.33,-18.00,-18.67,-19.33,-20.00,-20.67,-21.33,-22.00,-22.67,-23.33,-24.00,-24.67,-25.33,-26.00,-26.67,-27.33,-28.00,-28.67,-29.33,-30.00,-30.67,-31.33,-32.00,-32.67,-33.33,-34.00,-34.67,-35.33,-36.00,-36.67,-37.33,-38.00,-38.67,-39.33,-40.00,-40.67,-41.33,-42.00,-42.67,-43.33,-44.00,-44.67,-45.33,-46.00,-46.67,-47.33,-48.00,-48.67,-49.33,-50.00,-50.67,-51.33,-52.00,-52.67,-53.33,-54.00,-54.67,-55.33,-56.00,-56.67,-57.33,-58.00,-58.67,-59.33,-60.00,-60.67,-61.33,-62.00,-62.67,-63.33,-64.00,-64.67,-65.33,-66.00
7,8.4,26.53,12.31,2.66,-2.00,-2.67,-3.33,-4.00,-4.67,-5.33,-6.00,-6.67,-7.33,-8.00,-8.67,-9.33,-10.00,-10.67,-11.33,-12.00,-12.67,-13.33,-14.00,-14.67,-15.33,-16.00,-16.67,-17.33,-18.00,-18.67,-19.33,-20.00,-20.67,-21.33,-22.00,-22.67,-23.33,-24.00,-24.67,-25.33,-26.00,-26.67,-27.33,-28.00,-28.67,-29.33,-30.00,-30.67,-31.33,-32.00,-32.67,-33.33,-34.00,-34.67,-35.33,-36.00,-36.67,-37.33,-38.00,-38.67,-39.33,-40.00,-40.67,-41.33,-42.00,-42.67,-43.33,-44.00,-44.67,-45.33,-46.00,-46.67,-47.33,-48.00,-48.67,-49.33,-50.00,-50.67,-51.33,-52.00,-52.67,-53.33,-54.00,-54.67,-55.33,-56.00,-56.67,-57.33,-58.00,-58.67,-59.33,-60.00,-60.67,-61.33,-62.00,-62.67,-63.33,-64.00,-64.67,-65.33,-66.00
8,9.6,34.91,18.54,6.56,-0.65,-2.67,-3.33,-4.00,-4.67,-5.33,-6.00,-6.67,-7.33,-8.00,-8.67,-9.33,-10.00,-10.67,-11.33,-12.00,-12.67,-13.33,-14.00,-14.67,-15.33,-16.00,-16.67,-17.33,-18.00,-18.67,-19.33,-20.00,-20.67,-21.33,-22.00,-22.67,-23.33,-24.00,-24.67,-25.33,-26.00,-26.67,-27.33,-28.00,-28.67,-29.33,-30.00,-30.67,-31.33,-32.00,-32.67,-33.33,-34.00,-34.67,-35.33,-36.00,-36.67,-37.33,-38.00,-38.67,-39.33,-40.00,-40.67,-41.33,-42.00,-42.67,-43.33,-44.00,-44.67,-45.33,-46.00,-46.67,-47.33,-48.00,-48.67,-49.33,-50.00,-50.67,-51.33,-52.00,-52.67,-53.33,-54.00,-54.67,-55.33,-56.00,-56.67,-57.33,-58.00,-58.67,-59.33,-60.00,-60.67,-61.33,-62.00,-62.67,-63.33,-64.00,-64.67,-65.33,-66.00
9,10.8,44.30,25.86,11.64,2.00,-2.67,-3.33,-4.00,-4.67,-5.33,-6.00,-6.67,-7.33,-8.00,-8.67,-9.33,-10.00,-10.67,-11.33,-12.00,-12.67,-13.33,-14.00,-14.67,-15.33,-16.00,-16.67,-17.33,-18.00,-18.67,-19.33,-20.00,-20.67,-21.33,-22.00,-22.67,-23.33,-24.00,-24.67,-25.33,-26.00,-26.67,-27.33,-28.00,-28.67,-29.33,-30.00,-30.67,-31.33,-32.00,-32.67,-33.33,-34.00,-34.67,-35.33,-36.00,-36.67,-37.33,-38.00,-38.67,-39.33,-40.00,-40.67,-41.33,-42.00,-42.67,-43.33,-44.00,-44.67,-45.33,-46.00,-46.67,-47.33,-48.00,-48.67,-49.33,-50.00,-50.67,-51.33,-52.00,-52.67,-53.33,-54.00,-54.67,-55.33,-56.00,-56.67,-57.33,-58.00,-58.67,-59.33,-60.00,-60.67,-61.33,-62.00,-62.67,-63.33,-64.00,-64.67,-65.33,-66.00
10,12.0,54.67,34.24,17.87,5.89,-1.32,-3.33,-4.00,-4.67,-5.33,-6.00,-6.67,-7.33,-8.00,-8.67,-9.33,-10.00,-10.67,-11.33,-12.00,-12.67,-13.33,-14.00,-14.67,-15.33,-16.00,-16.67,-17.33,-18.00,-18.67,-19.33,-20.00,-20.67,-21.33,-22.00,-22.67,-23.33,-24.00,-24.67,-25.33,-26.00,-26.67,-27.33,-28.00,-28.67,-29.33,-30.00,-30.67,-31.33,-32.00,-32.67,-33.33,-34.00,-34.67,-35.33,-36.00,-36.67,-37.33,-38.00,-38.67,-39.33,-40.00,-40.67,-41.33,-42.00,-42.67,-43.33,-44.00,-44.67,-45.33,-46.00,-46.67,-47.33,-48.00,-48.67,-49.33,-50.00,-50.67,-51.33,-52.00,-52.67,-53.33,-54.00,-54.67,-55.33,-56.00,-56.67,-57.33,-58.00,-58.67,-59.33,-60.00,-60.67,-61.33,-62.00,-62.67,-63.33,-64.00,-64.67,-65.33,-66.00
